timestamp,currency,impact,event,actual,forecast,previous,day,event_id
2025-07-16 00:15:00,USD,Low Impact Expected,FOMC Member Collins Speaks,,,,WedJul 16,2501999fca4993eea638fa0da536caa6
2025-07-16 01:30:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,WedJul 16,1de00319ec1972b609c32ab4a67282a8
2025-07-16 02:00:00,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,WedJul 16,1e66a49eb28fcb363c9ed4dc95f2e3b5
2025-07-16 05:15:00,USD,Low Impact Expected,FOMC Member Logan Speaks,,,,WedJul 16,f49194ffb9899eb995dba8593daf90f5
2025-07-16 11:30:00,GBP,High Impact Expected,CPI y/y,3.6%,3.4%,3.4%,WedJul 16,a386b84d38432a580a3069046f3505c0
2025-07-16 11:30:00,GBP,Low Impact Expected,Core CPI y/y,3.7%,3.5%,3.5%,WedJul 16,cf797bc4ea4d725f8475ba55cd69176b
2025-07-16 11:30:00,GBP,Low Impact Expected,RPI y/y,4.4%,4.3%,4.3%,WedJul 16,0373f21d28982750899536a7379c4308
2025-07-16 14:00:00,GBP,Low Impact Expected,HPI y/y,3.9%,3.2%,3.5%,WedJul 16,91c80dafcc43c4b2532872a7e6f3b3c9
2025-07-16 14:30:00,EUR,Low Impact Expected,Italian Trade Balance,6.16B,2.87B,2.48B,WedJul 16,b80e600147d3b3a28f7451ce0fba3f84
2025-07-16 14:30:00,EUR,Low Impact Expected,Trade Balance,16.2B,13.9B,14.0B,WedJul 16,5a2d0e712bd9e4faea12d453c8c9825d
2025-07-16 15:03:00,EUR,Low Impact Expected,German 30-y Bond Auction,3.22|1.4,,2.99|2.2,WedJul 16,b93a1aa24d9b48f8ee053f576be9853a
2025-07-16 15:30:00,EUR,Low Impact Expected,German Buba Monthly Report,,,,WedJul 16,c94b86d6ebb613b4dd014bdd020268a8
2025-07-16 17:30:00,USD,Low Impact Expected,FOMC Member Barkin Speaks,,,,WedJul 16,c6895a4f60d7aa96b4665300268343b0
2025-07-16 17:45:00,CAD,Low Impact Expected,Housing Starts,284K,262K,280K,WedJul 16,1a22b1739fd20a8b839354dbf44b122b
2025-07-16 18:00:00,USD,High Impact Expected,Core PPI m/m,0.0%,0.2%,0.1%,WedJul 16,d2ef4727380157c1c5b179f6a44f4fec
2025-07-16 18:00:00,USD,High Impact Expected,PPI m/m,0.0%,0.2%,0.1%,WedJul 16,4d79cc40d73666d750fa91e07c53493b
2025-07-16 18:45:00,USD,Low Impact Expected,Capacity Utilization Rate,77.6%,77.4%,77.4%,WedJul 16,b10518cfda4056a154d4f40c65c8eafa
2025-07-16 18:45:00,USD,Low Impact Expected,FOMC Member Hammack Speaks,,,,WedJul 16,286e39a1707169a31c3e218d6f2d1018
2025-07-16 18:45:00,USD,Low Impact Expected,Industrial Production m/m,0.3%,0.1%,-0.2%,WedJul 16,8ae227ad86f84bd9129c2ee7abda1bc6
2025-07-16 19:00:00,GBP,Low Impact Expected,CB Leading Index m/m,-0.3%,,-0.4%,WedJul 16,9354b8f3822db35f33b77e459dd18855
2025-07-16 19:30:00,USD,Low Impact Expected,FOMC Member Barr Speaks,,,,WedJul 16,a6d102af6fca04d5874cd5babe588aa9
2025-07-16 20:00:00,USD,Low Impact Expected,Crude Oil Inventories,-3.9M,-1.8M,7.1M,WedJul 16,e9685939b78f14503c6641e2e9c61e86
2025-07-16 23:30:00,USD,Low Impact Expected,Beige Book,,,,WedJul 16,3d98edf5058ecbb49510f88b0dc5ea27
2025-07-17 01:00:00,USD,Low Impact Expected,FOMC Member Bostic Speaks,,,,ThuJul 17,bfd33fa8ec24485a924634435c1b4cac
2025-07-17 04:00:00,USD,Low Impact Expected,FOMC Member Williams Speaks,,,,ThuJul 17,2c7a4f3a89fd83ee84d0aaa3c00cba35
2025-07-17 04:15:00,NZD,Low Impact Expected,FPI m/m,1.2%,,0.5%,ThuJul 17,84298b2593f18a664aa2857f3f09c408
2025-07-17 05:20:00,JPY,Low Impact Expected,Trade Balance,-0.24T,-0.26T,-0.31T,ThuJul 17,85966cf7bf483d2e121cf272abe2d1cd
2025-07-17 06:30:00,AUD,Low Impact Expected,MI Inflation Expectations,4.7%,,5.0%,ThuJul 17,a3ecc5fd25eb097181ea7574569b6f36
2025-07-17 07:00:00,AUD,High Impact Expected,Employment Change,2.0K,21.0K,-2.5K,ThuJul 17,f8804d0398c94026664d5db9397c38ff
