time,open,high,low,close,tick_volume,spread,real_volume,news_impact,news_event,news_currency,minutes_from_news,label
2025-06-11 00:30:00,1.14291,1.1433,1.14227,1.14256,667,9,0,Medium,President Trump Speaks,USD,-60.0,0.0
2025-06-11 00:45:00,1.14257,1.1428,1.14201,1.14208,726,9,0,Medium,President Trump Speaks,USD,-45.0,0.0
2025-06-11 01:00:00,1.14208,1.1423,1.14184,1.14217,622,9,0,Medium,President Trump Speaks,USD,-30.0,-1.0
2025-06-11 01:15:00,1.14217,1.14264,1.14216,1.14238,551,9,0,Medium,President Trump Speaks,USD,-15.0,1.0
2025-06-11 01:30:00,1.14238,1.14248,1.14191,1.14194,534,9,0,Medium,President Trump Speaks,USD,0.0,1.0
2025-06-11 01:45:00,1.14192,1.14202,1.14059,1.14083,739,9,0,Medium,President Trump Speaks,USD,15.0,1.0
2025-06-12 17:00:00,1.15755,1.15774,1.15677,1.15699,673,9,0,High,Core PPI m/m,USD,-60.0,0.0
2025-06-12 17:15:00,1.15699,1.15709,1.15635,1.15689,625,9,0,High,Core PPI m/m,USD,-45.0,0.0
2025-06-12 17:30:00,1.15687,1.15767,1.15672,1.15749,544,9,0,High,Core PPI m/m,USD,-30.0,0.0
2025-06-12 17:45:00,1.1575,1.15778,1.15724,1.15746,462,9,0,High,Core PPI m/m,USD,-15.0,0.0
2025-06-12 18:00:00,1.15745,1.15745,1.15694,1.15729,466,9,0,High,Core PPI m/m,USD,0.0,-1.0
2025-06-12 18:15:00,1.15729,1.15802,1.15728,1.15773,415,9,0,High,Core PPI m/m,USD,15.0,-1.0
2025-06-12 18:30:00,1.15773,1.15791,1.15736,1.15744,425,9,0,High,Core PPI m/m,USD,30.0,-1.0
2025-06-13 19:00:00,1.15408,1.15416,1.15375,1.15409,706,9,0,High,Prelim UoM Consumer Sentiment,USD,-30.0,1.0
2025-06-13 19:15:00,1.1541,1.15425,1.15363,1.1539,548,9,0,High,Prelim UoM Consumer Sentiment,USD,-15.0,0.0
2025-06-13 19:30:00,1.1539,1.15447,1.15374,1.15445,427,9,0,High,Prelim UoM Consumer Sentiment,USD,0.0,0.0
2025-06-13 19:45:00,1.15445,1.15513,1.15424,1.15495,577,9,0,High,Prelim UoM Consumer Sentiment,USD,15.0,0.0
2025-06-13 20:00:00,1.15494,1.15494,1.15381,1.15436,499,9,0,High,Prelim UoM Consumer Sentiment,USD,30.0,1.0
2025-06-13 20:15:00,1.15435,1.15448,1.15406,1.15421,302,9,0,High,Prelim UoM Consumer Sentiment,USD,45.0,1.0
2025-06-13 20:30:00,1.1542,1.15506,1.15375,1.15501,461,9,0,High,Prelim UoM Consumer Sentiment,USD,60.0,1.0
2025-06-16 18:00:00,1.15775,1.15789,1.15752,1.15766,459,9,0,Medium,Empire State Manufacturing Index,USD,0.0,0.0
2025-06-16 18:15:00,1.15768,1.15781,1.15734,1.15756,446,9,0,Medium,Empire State Manufacturing Index,USD,15.0,0.0
2025-06-16 18:30:00,1.15756,1.15804,1.15753,1.15797,488,9,0,Medium,Empire State Manufacturing Index,USD,30.0,-1.0
2025-06-16 18:45:00,1.15797,1.1581,1.15765,1.15797,591,9,0,Medium,Empire State Manufacturing Index,USD,45.0,-1.0
2025-06-16 19:00:00,1.15795,1.15795,1.15701,1.15712,606,9,0,Medium,Empire State Manufacturing Index,USD,60.0,-1.0
2025-06-17 14:30:00,1.15371,1.15377,1.15102,1.15113,2003,9,0,Medium,German ZEW Economic Sentiment,EUR,0.0,-1.0
2025-06-17 14:45:00,1.15114,1.15269,1.15114,1.15262,1419,9,0,Medium,German ZEW Economic Sentiment,EUR,15.0,-1.0
2025-06-17 15:00:00,1.1526,1.15332,1.15204,1.15328,1219,9,0,Medium,German ZEW Economic Sentiment,EUR,30.0,-1.0
2025-06-18 17:00:00,1.15026,1.15088,1.15025,1.1505,468,9,0,High,Unemployment Claims,USD,-60.0,-1.0
